target1,target2,SOA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,counter_balance.thisRepN,counter_balance.thisTrialN,counter_balance.thisN,counter_balance.thisIndex,trials_50ms.thisRepN,trials_50ms.thisTrialN,trials_50ms.thisN,trials_50ms.thisIndex,trials_100ms.thisRepN,trials_100ms.thisTrialN,trials_100ms.thisN,trials_100ms.thisIndex,trials_200ms.thisRepN,trials_200ms.thisTrialN,trials_200ms.thisN,trials_200ms.thisIndex,trials_400ms.thisRepN,trials_400ms.thisTrialN,trials_400ms.thisN,trials_400ms.thisIndex,trials_600ms.thisRepN,trials_600ms.thisTrialN,trials_600ms.thisN,trials_600ms.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,practice_instructions.started,key_instruct_2.started,practice_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,fixation.started,cross.started,fixation.stopped,practice.started,target_1.started,target_1.stopped,target_2.started,target_2.stopped,practice.stopped,practice_response.started,textbox.started,practice_response_instructions.started,textbox_2.started,button.started,practice_response.stopped,f1_accuracy,f2_accuracy,textbox.text,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,cross.stopped,instructions_testphase.started,key_instruct_3.started,instructions_testphase.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,countdown.started,text_countdown.started,countdown.stopped,fixation_2.started,cross_2.started,fixation_2.stopped,routine_1.started,target_14.started,target_14.stopped,target_15.started,target_15.stopped,routine_1.stopped,response.started,textbox_3.started,practice_response_instructions_2.started,textbox_4.started,button_2.started,response.stopped,textbox_3.text,textbox_4.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,cross_2.stopped,fixation_100ms.started,cross_3.started,fixation_100ms.stopped,routine_2.started,target_16.started,target_16.stopped,target_17.started,target_17.stopped,routine_2.stopped,response_100ms.started,textbox_5.started,practice_response_instructions_3.started,textbox_6.started,button_3.started,response_100ms.stopped,textbox_5.text,textbox_6.text,button_3.numClicks,button_3.timesOn,button_3.timesOff,cross_3.stopped,routine_34.started,target_18.started,target_18.stopped,target_19.started,target_19.stopped,routine_34.stopped,response_200ms.started,textbox_7.started,practice_response_instructions_4.started,textbox_8.started,button_4.started,response_200ms.stopped,textbox_7.text,textbox_8.text,button_4.numClicks,button_4.timesOn,button_4.timesOff,routine_4.started,target_20.started,target_20.stopped,target_21.started,target_21.stopped,routine_4.stopped,response_400ms.started,textbox_9.started,practice_response_instructions_5.started,textbox_10.started,button_5.started,response_400ms.stopped,textbox_9.text,textbox_10.text,button_5.numClicks,button_5.timesOn,button_5.timesOff,routine_5.started,target_22.started,target_22.stopped,target_23.started,target_23.stopped,routine_5.stopped,response_600ms.started,textbox_11.started,practice_response_instructions_6.started,textbox_12.started,button_6.started,response_600ms.stopped,textbox_11.text,textbox_12.text,button_6.numClicks,button_6.timesOn,button_6.timesOff,thank_you.started,key_instruct_4.started,thank_you.stopped,key_instruct_4.keys,key_instruct_4.rt,key_instruct_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011783374997321516,0.027412290990469046,5.953977083001519,space,5.9017165420082165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.954003457998624,5.960339500001282,11.503369540994754,space,5.536723000011989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
None,None,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,11.527157916003489,,,,,,,,,,,,,,11.514424833003432,11.527157916003489,13.513141165996785,13.513153915992007,13.7636998329981,13.809350957992137,13.929396207997343,13.976466499996604,14.120322290997137,14.12033233299735,14.151780165993841,14.151780165993841,14.151780165993841,14.151780165993841,20.668139040993992,0,0,,,1,[6.540456583010382],[6.540460291013005],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
boat, cold,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,20.678716458001873,,,,,,,,,,,,,,20.66876170800242,20.678716458001873,22.669968250003876,22.66997537499992,22.936549332996947,22.986807708002743,23.08642883299035,23.137525290992926,23.28738479099411,23.28739729100198,23.30622787500033,23.30622787500033,23.30622787500033,23.30622787500033,38.21702529100003,0,0,"boat
",,1,[14.927903707997757],[14.92790758299816],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
None,None,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,38.223410958002205,,,,,,,,,,,,,,38.217479999992065,38.223410958002205,40.211909624995315,40.21192537499883,40.47724274999928,40.52096612499736,40.63703133299714,40.70469108299585,40.837809958000435,40.8378244159976,40.854802874993766,40.854802874993766,40.854802874993766,40.854802874993766,49.287807082990184,0,0,,cold,1,[8.44835616700584],[8.448359875008464],40.22417120799946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
None,None,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,49.29442958299478,,,,,,,,,,,,,,49.28822025000409,49.29442958299478,51.288406416002545,51.288415290997364,51.54496287499205,51.59955374999845,51.70478129100229,51.75469570799032,51.904598875000374,51.90461633299128,51.93187924999802,51.93187924999802,51.93187924999802,51.93187924999802,64.24955354099802,0,0,boat,cold,1,[12.336828500003321],[12.336832708009752],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
bird, rain,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,64.2628869159962,,,,,,,,,,,,,,64.25005054099893,64.2628869159962,66.25504895800259,66.255058499999,66.5159768750018,66.56309774999681,66.67157974999282,66.72149837500183,66.87204491600278,66.87205466600426,66.88753670800361,66.88753670800361,66.88753670800361,66.88753670800361,74.19287129100121,0,0,brain,,1,[7.319358374996227],[7.319362333000754],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
book, dark,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,74.20513620799466,,,,,,,,,,,,,,74.19325370799925,74.20513620799466,76.18979941599537,76.18981204100419,76.45578041599947,76.50537133299804,76.61113037499308,76.66155087499646,76.81218437499774,76.81220304100134,76.82660716600367,76.82660716600367,76.82660716600367,76.82660716600367,82.68243958300445,1,0,book,,1,[5.868693291005911],[5.868697416008217],76.20011408299615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
None,None,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,82.6888787909993,,,,,,,,,,,,,,82.6828679159953,82.6888787909993,84.67203312499623,84.6720473329915,84.93986316600058,84.9889874579967,85.10527912499674,85.15545008299523,85.30612058300176,85.3061327500036,85.32188424999185,85.32188424999185,85.32188424999185,85.32188424999185,90.22839520800335,0,0,,,1,[4.920765624992782],[4.920769832999213],84.68532845799928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
calm, heat,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,90.23845783299475,,,,,,,,,,,,,,90.22880616599286,90.23845783299475,92.2225693329965,92.22257991599326,92.48898504099634,92.53942837499199,92.64562512499106,92.68868429100257,92.85023012499732,92.8502430410008,92.86624541599303,92.86624541599303,92.86624541599303,92.86624541599303,101.183167915995,1,0,calm,,1,[8.331348874999094],[8.331352958004572],92.23540220799623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
