target1,target2,SOA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,counter_balance.thisRepN,counter_balance.thisTrialN,counter_balance.thisN,counter_balance.thisIndex,trials_50ms.thisRepN,trials_50ms.thisTrialN,trials_50ms.thisN,trials_50ms.thisIndex,trials_100ms.thisRepN,trials_100ms.thisTrialN,trials_100ms.thisN,trials_100ms.thisIndex,trials_200ms.thisRepN,trials_200ms.thisTrialN,trials_200ms.thisN,trials_200ms.thisIndex,trials_400ms.thisRepN,trials_400ms.thisTrialN,trials_400ms.thisN,trials_400ms.thisIndex,trials_600ms.thisRepN,trials_600ms.thisTrialN,trials_600ms.thisN,trials_600ms.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,practice_instructions.started,key_instruct_2.started,practice_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,fixation.started,cross.started,fixation.stopped,practice.started,target_1.started,target_1.stopped,target_2.started,target_2.stopped,practice.stopped,practice_response.started,textbox.started,practice_response_instructions.started,textbox_2.started,button.started,practice_response.stopped,f1_accuracy,f2_accuracy,textbox.text,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,cross.stopped,instructions_testphase.started,key_instruct_3.started,instructions_testphase.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,countdown.started,text_countdown.started,countdown.stopped,fixation_2.started,cross_2.started,fixation_2.stopped,routine_1.started,target_14.started,target_14.stopped,target_15.started,target_15.stopped,routine_1.stopped,response.started,textbox_3.started,practice_response_instructions_2.started,textbox_4.started,button_2.started,response.stopped,textbox_3.text,textbox_4.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,cross_2.stopped,fixation_100ms.started,cross_3.started,fixation_100ms.stopped,routine_2.started,target_16.started,target_16.stopped,target_17.started,target_17.stopped,routine_2.stopped,response_100ms.started,textbox_5.started,practice_response_instructions_3.started,textbox_6.started,button_3.started,response_100ms.stopped,textbox_5.text,textbox_6.text,button_3.numClicks,button_3.timesOn,button_3.timesOff,cross_3.stopped,routine_34.started,target_18.started,target_18.stopped,target_19.started,target_19.stopped,routine_34.stopped,response_200ms.started,textbox_7.started,practice_response_instructions_4.started,textbox_8.started,button_4.started,response_200ms.stopped,textbox_7.text,textbox_8.text,button_4.numClicks,button_4.timesOn,button_4.timesOff,routine_4.started,target_20.started,target_20.stopped,target_21.started,target_21.stopped,routine_4.stopped,response_400ms.started,textbox_9.started,practice_response_instructions_5.started,textbox_10.started,button_5.started,response_400ms.stopped,textbox_9.text,textbox_10.text,button_5.numClicks,button_5.timesOn,button_5.timesOff,routine_5.started,target_22.started,target_22.stopped,target_23.started,routine_5.stopped,response_600ms.started,textbox_11.started,practice_response_instructions_6.started,textbox_12.started,button_6.started,response_600ms.stopped,textbox_11.text,textbox_12.text,button_6.numClicks,button_6.timesOn,button_6.timesOff,target_23.stopped,thank_you.started,key_instruct_4.started,thank_you.stopped,key_instruct_4.keys,key_instruct_4.rt,key_instruct_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012723958003334701,0.03028933300083736,28.422847082998487,space,28.363373166997917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.42288016599923,28.447977916002856,40.81844362500124,space,12.36652404099732,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
None,None,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,40.841809208002815,,,,,,,,,,,,,,40.83001016599883,40.841809208002815,42.8274911250046,42.82750116600073,43.08568875000492,43.14434470800188,43.24404633299855,43.302437791004195,43.4523448330001,43.45235745800164,43.47827945800236,43.47827945800236,43.47827945800236,43.47827945800236,55.15191466599936,0,0, ,,1,[11.697325332999753],[11.697331791998295],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
None,None,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,55.1610735830036,,,,,,,,,,,,,,55.152524832999916,55.1610735830036,57.152224500001466,57.152235958004894,57.419118416000856,57.47836520800047,57.57814041600068,57.636610041001404,57.785597624999355,57.78560712499893,57.80081912500464,57.80081912500464,57.80081912500464,57.80081912500464,65.66883691600378,0,0,,,1,[7.881684542000585],[7.881688041998132],57.16189479100285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
blow, care,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,65.67801579100342,,,,,,,,,,,,,,65.66922970800078,65.67801579100342,67.66933491599775,67.6693516660016,67.93677108300471,67.99493645800248,68.09492895800213,68.15257616600138,68.30277720800223,68.30279074999999,68.32142520799971,68.32142520799971,68.32142520799971,68.32142520799971,83.84143904100347,0,0,,care,1,[15.53703058300016],[15.537034000000858],67.68749737500184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
boat, cold,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,83.84855041599803,,,,,,,,,,,,,,83.84185254100157,83.84855041599803,85.84546654100268,85.84547579100035,86.11204362499848,86.16986037500465,86.27048050000303,86.32831804099987,86.47839062500134,86.47840025000187,86.49571954100247,86.49571954100247,86.49571954100247,86.49571954100247,92.69189700000425,0,0,,boat,1,[6.2118749159999425],[6.211878415997489],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
book, dark,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,92.69898812500469,,,,,,,,,,,,,,92.69231500000024,92.69898812500469,94.6957428329988,94.69575187499868,94.96231641600025,95.02011595800286,95.1208662909994,95.17907416600065,95.32858645800297,95.32859712500067,95.34661708299973,95.34661708299973,95.34661708299973,95.34661708299973,103.81832629100245,0,0,,book,1,[8.488116915999854],[8.488120458001504],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
None,None,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,103.82976758300356,,,,,,,,,,,,,,103.81871712500288,103.82976758300356,105.82060929100408,105.82061854100175,106.08778149999853,106.14615120799863,106.24619858300139,106.3037895410016,106.45412708300137,106.45413954099786,106.47215545800282,106.47215545800282,106.47215545800282,106.47215545800282,114.74269099999947,0,0,dark,,1,[8.286874667006487],[8.286878083999909],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
None,None,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,114.74996641599864,,,,,,,,,,,,,,114.74310487500043,114.74996641599864,116.74632666599791,116.74633549999999,117.01299975000438,117.07077745800052,117.17157274999772,117.22996408300241,117.37982104100229,117.37982975000341,117.39821625000332,117.39821625000332,117.39821625000332,117.39821625000332,124.23106700000062,0,0,,,1,[6.849554083004477],[6.849558292000438],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
bird, rain,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,124.24710962500103,,,,,,,,,,,,,,124.23151737500302,124.24710962500103,126.23766662499838,126.23767587500333,126.49614887499774,126.55442687500181,126.65464995799994,126.71327791600197,126.87112933299795,126.87113908299943,126.88838441600092,126.88838441600092,126.88838441600092,126.88838441600092,131.62133470800472,0,0,,bird,1,[4.748565791996953],[4.748569750001479],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
