target1,target2,SOA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,counter_balance.thisRepN,counter_balance.thisTrialN,counter_balance.thisN,counter_balance.thisIndex,trials_50ms.thisRepN,trials_50ms.thisTrialN,trials_50ms.thisN,trials_50ms.thisIndex,trials_100ms.thisRepN,trials_100ms.thisTrialN,trials_100ms.thisN,trials_100ms.thisIndex,trials_200ms.thisRepN,trials_200ms.thisTrialN,trials_200ms.thisN,trials_200ms.thisIndex,trials_400ms.thisRepN,trials_400ms.thisTrialN,trials_400ms.thisN,trials_400ms.thisIndex,trials_600ms.thisRepN,trials_600ms.thisTrialN,trials_600ms.thisN,trials_600ms.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,practice_instructions.started,key_instruct_2.started,practice_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,fixation.started,cross.started,fixation.stopped,practice.started,target_1.started,target_1.stopped,target_2.started,target_2.stopped,practice.stopped,practice_response.started,textbox.started,practice_response_instructions.started,textbox_2.started,button.started,practice_response.stopped,f1_accuracy,f2_accuracy,textbox.text,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,instructions_testphase.started,key_instruct_3.started,instructions_testphase.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,countdown.started,text_countdown.started,countdown.stopped,fixation_2.started,cross_2.started,fixation_2.stopped,routine_1.started,target_14.started,target_14.stopped,target_15.started,target_15.stopped,routine_1.stopped,response.started,textbox_3.started,practice_response_instructions_2.started,textbox_4.started,button_2.started,response.stopped,textbox_3.text,textbox_4.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,cross_2.stopped,fixation_100ms.started,cross_3.started,fixation_100ms.stopped,routine_2.started,target_16.started,target_16.stopped,target_17.started,target_17.stopped,routine_2.stopped,response_100ms.started,textbox_5.started,practice_response_instructions_3.started,textbox_6.started,button_3.started,response_100ms.stopped,textbox_5.text,textbox_6.text,button_3.numClicks,button_3.timesOn,button_3.timesOff,cross_3.stopped,routine_34.started,target_18.started,target_18.stopped,target_19.started,target_19.stopped,routine_34.stopped,response_200ms.started,textbox_7.started,practice_response_instructions_4.started,textbox_8.started,button_4.started,response_200ms.stopped,textbox_7.text,textbox_8.text,button_4.numClicks,button_4.timesOn,button_4.timesOff,routine_4.started,target_20.started,target_20.stopped,target_21.started,target_21.stopped,routine_4.stopped,response_400ms.started,textbox_9.started,practice_response_instructions_5.started,textbox_10.started,button_5.started,response_400ms.stopped,textbox_9.text,textbox_10.text,button_5.numClicks,button_5.timesOn,button_5.timesOff,routine_5.started,target_22.started,target_22.stopped,target_23.started,target_23.stopped,routine_5.stopped,response_600ms.started,textbox_11.started,practice_response_instructions_6.started,textbox_12.started,button_6.started,response_600ms.stopped,textbox_11.text,textbox_12.text,button_6.numClicks,button_6.timesOn,button_6.timesOff,thank_you.started,key_instruct_4.started,thank_you.stopped,key_instruct_4.keys,key_instruct_4.rt,key_instruct_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012920041001052596,0.04464070800167974,15.71761495800456,space,15.671567874996981,0.0002781250004773028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.717651375001878,15.754004082999018,18.06984970800113,space,2.3086938749984256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
book, dark,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,18.092885124999157,,,,,,,,,,,,,,18.081581791004282,18.092885124999157,20.07880287500302,20.078813375002937,20.336874166001508,20.3954117079993,20.49545745800424,20.55335745800403,20.70321658300236,20.703227500001958,20.729908790999616,20.729908790999616,20.729908790999616,20.729908790999616,26.900817207999353,1,0,book,dark,1,[6.195688416999474],[6.195692500004952],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
None,None,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,26.911931583003025,,,,,,,,,,,,,,26.90148125000269,26.911931583003025,28.903278124998906,28.903287208006077,29.17049083299935,29.229166375000204,29.329078458002186,29.386633083006018,29.536922166000295,29.53693475000182,29.554216832999373,29.554216832999373,29.554216832999373,29.554216832999373,35.13424775000021,0,0,book,dark,1,[5.59570070799964],[5.59570425000129],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
None,None,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,35.146152666005946,,,,,,,,,,,,,,35.13481070800481,35.146152666005946,37.1369839580002,37.13699441600329,37.40488162499969,37.46282108300511,37.56271891600045,37.6204282500039,37.77086720800435,37.77087854099955,37.78868066600262,37.78868066600262,37.78868066600262,37.78868066600262,43.867753208003705,0,0,book,dark,1,[6.095211374995415],[6.095215374996769],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
calm, heat,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,43.87973791600234,,,,,,,,,,,,,,43.868178125005215,43.87973791600234,45.870597375003854,45.87060708300123,46.13787304099969,46.196272041001066,46.29659145800542,46.35419795800408,46.50422316600452,46.504234541003825,46.52042791600252,46.52042791600252,46.52042791600252,46.52042791600252,52.29230616600398,1,0,calm,heat,1,[5.7865741659989],[5.78657770800055],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
None,None,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,52.2997772910021,,,,,,,,,,,,,,52.292716000003566,52.2997772910021,54.29664854099974,54.29665766600374,54.56319954100036,54.620923624999705,54.720704708000994,54.780646457998955,54.929956541003776,54.92996600000333,54.94724816600501,54.94724816600501,54.94724816600501,54.94724816600501,60.75180366600398,0,0,calm,heat,1,[5.820256917002553],[5.820260667002003],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
boat, cold,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,60.76303583299887,,,,,,,,,,,,,,60.75224379100109,60.76303583299887,62.75470966600551,62.7547200830013,63.02177145799942,63.08013154099899,63.1803360000049,63.23784008300572,63.38828312500118,63.38829445800366,63.40503012500267,63.40503012500267,63.40503012500267,63.40503012500267,68.99252204100048,0,0,book,cold,1,[5.602640707998944],[5.602644417005649],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
bird, rain,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,69.00037704100396,,,,,,,,,,,,,,68.99294500000542,69.00037704100396,70.99709533300484,70.9971041250028,71.26372066600015,71.3215018750052,71.4213769160051,71.48051095800474,71.63045254100143,71.63046083300287,71.64729345800151,71.64729345800151,71.64729345800151,71.64729345800151,75.7938505830025,1,0,bird,rain,1,[4.161799749999773],[4.161803417002375],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
None,None,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,75.80132904100174,,,,,,,,,,,,,,75.79425587500009,75.80132904100174,77.7972942500055,77.7973033330054,78.0638497079999,78.12168270799884,78.22257445799914,78.28111158300453,78.43066087500483,78.43068495800253,78.44757662500342,78.44757662500342,78.44757662500342,78.44757662500342,82.9021479580042,0,0,bird,rain,1,[4.469838042001356],[4.469841707999876],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
