target1,target2,SOA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,counter_balance.thisRepN,counter_balance.thisTrialN,counter_balance.thisN,counter_balance.thisIndex,trials_50ms.thisRepN,trials_50ms.thisTrialN,trials_50ms.thisN,trials_50ms.thisIndex,trials_100ms.thisRepN,trials_100ms.thisTrialN,trials_100ms.thisN,trials_100ms.thisIndex,trials_200ms.thisRepN,trials_200ms.thisTrialN,trials_200ms.thisN,trials_200ms.thisIndex,trials_400ms.thisRepN,trials_400ms.thisTrialN,trials_400ms.thisN,trials_400ms.thisIndex,trials_600ms.thisRepN,trials_600ms.thisTrialN,trials_600ms.thisN,trials_600ms.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,practice_instructions.started,key_instruct_2.started,practice_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,fixation.started,cross.started,fixation.stopped,practice.started,target_1.started,target_1.stopped,target_2.started,target_2.stopped,practice.stopped,practice_response.started,textbox.started,practice_response_instructions.started,textbox_2.started,button.started,practice_response.stopped,f1_accuracy,f2_accuracy,textbox.text,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,cross.stopped,instructions_testphase.started,key_instruct_3.started,instructions_testphase.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,countdown.started,text_countdown.started,text_countdown.stopped,countdown.stopped,fixation_2.started,cross_2.started,cross_2.stopped,fixation_2.stopped,routine_50_ms.started,target_3.started,target_3.stopped,target_4.started,target_4.stopped,routine_50_ms.stopped,response.started,textbox_3.started,practice_response_instructions_2.started,textbox_4.started,button_2.started,response.stopped,textbox_3.text,textbox_4.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,fixation_100ms.started,cross_3.started,fixation_100ms.stopped,routine_100ms.started,target_5.started,target_5.stopped,target_6.started,target_6.stopped,routine_100ms.stopped,response_100ms.started,textbox_5.started,practice_response_instructions_3.started,textbox_6.started,button_3.started,response_100ms.stopped,textbox_5.text,textbox_6.text,button_3.numClicks,button_3.timesOn,button_3.timesOff,cross_3.stopped,routine_200ms.started,target_7.started,target_7.stopped,target_8.started,target_8.stopped,routine_200ms.stopped,response_200ms.started,textbox_7.started,practice_response_instructions_4.started,textbox_8.started,button_4.started,response_200ms.stopped,textbox_7.text,textbox_8.text,button_4.numClicks,button_4.timesOn,button_4.timesOff,routine_400ms.started,target.started,target.stopped,target_9.started,target_9.stopped,routine_400ms.stopped,response_400ms.started,textbox_9.started,practice_response_instructions_5.started,textbox_10.started,button_5.started,response_400ms.stopped,textbox_9.text,textbox_10.text,button_5.numClicks,button_5.timesOn,button_5.timesOff,routine_600ms.started,target_11.started,target_11.stopped,target_12.started,target_12.stopped,routine_600ms.stopped,response_600ms.started,textbox_11.started,practice_response_instructions_6.started,textbox_12.started,button_6.started,response_600ms.stopped,textbox_11.text,textbox_12.text,button_6.numClicks,button_6.timesOn,button_6.timesOff,thank_you.started,key_instruct_4.started,thank_you.stopped,key_instruct_4.keys,key_instruct_4.rt,key_instruct_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009789458999875933,0.025788208993617445,6.9436243749951245,space,6.892419875002815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.943657916999655,6.973701666996931,26.207257041998673,space,19.226584957999876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
cart, loss,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,26.23867533399607,,,,,,,,,,,,,,26.21944633399835,26.23867533399607,28.2167079169958,28.216718166993815,28.699647749999713,28.789348333993985,28.999637958993844,29.089730708998104,29.39065666699753,29.39067229200009,29.422111041996686,29.422111041996686,29.422111041996686,29.422111041996686,51.00502795899956,0,0,,loss ,1,[21.612181834003422],[21.61218616700353],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
book, dark,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,51.0170669999934,,,,,,,,,,,,,,51.00566358399374,51.0170669999934,53.00083774999803,53.000849500000186,53.50077029199747,53.59012745899963,53.80080520899355,53.890273916993465,54.184137917000044,54.18415112499497,54.20831633399939,54.20831633399939,54.20831633399939,54.20831633399939,67.07972524999786,1,0,book,dark,1,[12.887378624996927],[12.887383332999889],53.01517458399758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
blow, care,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,67.08658770899638,,,,,,,,,,,,,,67.08012849999795,67.08658770899638,69.0745596669949,69.07457124999928,69.57509199999913,69.66796208400046,69.87491874999978,69.9681067499987,70.26823258399963,70.26824549999583,70.28587008399336,70.28587008399336,70.28587008399336,70.28587008399336,90.24753454199526,1,0,blow,care,1,[19.977515833001235],[19.977521166998486],69.08745487499982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
care, list,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,90.25433725000039,,,,,,,,,,,,,,90.24794854199718,90.25433725000039,92.24226716699923,92.24228120899352,92.74214395899617,92.83539008399384,93.04247224999563,93.13511804199516,93.4354943340004,93.43550741699437,93.45313424999767,93.45313424999767,93.45313424999767,93.45313424999767,104.08211070899415,0,0,,,1,[10.644852166995406],[10.644856416998664],92.25453995899443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
case, love,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,104.08854545899521,,,,,,,,,,,,,,104.08252349999384,104.08854545899521,106.07578441700025,106.07579816699581,106.57553704199381,106.66874995899707,106.8762177499957,106.9685832499963,107.26843074999488,107.26844283399987,107.28475370899832,107.28475370899832,107.28475370899832,107.28475370899832,114.6479627499939,0,0,,love,1,[7.37791004099563],[7.377914290998888],106.0882258749989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
calm, heat,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,114.65460891699331,,,,,,,,,,,,,,114.64836612499494,114.65460891699331,116.6430525839969,116.64306499999657,117.14233208399673,117.2357703749949,117.4427217919947,117.53574645899789,117.82592020899756,117.82593149999593,117.85008008399745,117.85008008399745,117.85008008399745,117.85008008399745,125.8237772499997,1,0,calm,heat,1,[7.987613416997192],[7.987618083003326],116.65484591699351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
bird, rain,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,125.83594470899698,,,,,,,,,,,,,,125.82416912500048,125.83594470899698,127.81952629199805,127.81953616700048,128.31958762499562,128.40882049999345,128.61925012499705,128.70938483399368,129.00273770899366,129.00275012499333,129.02504849999968,129.02504849999968,129.02504849999968,129.02504849999968,137.4909151669999,1,0,bird,rain,1,[8.479729708997183],[8.47973424999509],127.83133291699778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
card, loan,,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,137.5022815839984,,,,,,,,,,,,,,137.49130329199397,137.5022815839984,139.48633254199376,139.4863417499946,139.98627937499987,140.0761588749956,140.2863323749989,140.3758188339998,140.6699910419993,140.67000220899354,140.6921060839959,140.6921060839959,140.6921060839959,140.6921060839959,154.03260616699845,1,0,card,loan,1,[13.354148250000435],[13.35415245799959],139.49689679199946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
