11.3529 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
12.6960 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

12.6967 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f7e503a4e50>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f7e503a4df0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f7e503a4c10>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f7e715023a0>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.7104 	EXP 	window1: mouseVisible = True
12.7104 	EXP 	window1: backgroundImage = ''
12.7104 	EXP 	window1: backgroundFit = 'none'
12.7134 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
12.7135 	EXP 	window1: recordFrameIntervals = False
12.7963 	EXP 	window1: recordFrameIntervals = True
13.6300 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

13.6318 	EXP 	window1: mouseVisible = False
16.1195 	EXP 	experiment: status = STARTED
16.1237 	EXP 	window1: mouseVisible = True
