target1,target2,SOA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,counter_balance.thisRepN,counter_balance.thisTrialN,counter_balance.thisN,counter_balance.thisIndex,trials_50ms.thisRepN,trials_50ms.thisTrialN,trials_50ms.thisN,trials_50ms.thisIndex,trials_100ms.thisRepN,trials_100ms.thisTrialN,trials_100ms.thisN,trials_100ms.thisIndex,trials_200ms.thisRepN,trials_200ms.thisTrialN,trials_200ms.thisN,trials_200ms.thisIndex,trials_400ms.thisRepN,trials_400ms.thisTrialN,trials_400ms.thisN,trials_400ms.thisIndex,trials_600ms.thisRepN,trials_600ms.thisTrialN,trials_600ms.thisN,trials_600ms.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,practice_instructions.started,key_instruct_2.started,practice_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,fixation.started,cross.started,fixation.stopped,practice.started,target_1.started,target_1.stopped,target_2.started,target_2.stopped,practice.stopped,practice_response.started,textbox.started,practice_response_instructions.started,textbox_2.started,button.started,practice_response.stopped,f1_accuracy,f2_accuracy,textbox.text,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,cross.stopped,instructions_testphase.started,key_instruct_3.started,instructions_testphase.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,countdown.started,text_countdown.started,countdown.stopped,fixation_2.started,cross_2.started,fixation_2.stopped,routine_1.started,target_14.started,target_14.stopped,target_15.started,target_15.stopped,routine_1.stopped,response.started,textbox_3.started,practice_response_instructions_2.started,textbox_4.started,button_2.started,response.stopped,textbox_3.text,textbox_4.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,cross_2.stopped,fixation_100ms.started,cross_3.started,cross_3.stopped,fixation_100ms.stopped,routine_2.started,target_16.started,target_16.stopped,target_17.started,target_17.stopped,routine_2.stopped,response_100ms.started,textbox_5.started,practice_response_instructions_3.started,textbox_6.started,button_3.started,response_100ms.stopped,textbox_5.text,textbox_6.text,button_3.numClicks,button_3.timesOn,button_3.timesOff,routine_34.started,target_18.started,target_18.stopped,target_19.started,target_19.stopped,routine_34.stopped,response_200ms.started,textbox_7.started,practice_response_instructions_4.started,textbox_8.started,button_4.started,response_200ms.stopped,textbox_7.text,textbox_8.text,button_4.numClicks,button_4.timesOn,button_4.timesOff,routine_4.started,target_20.started,target_20.stopped,target_21.started,target_21.stopped,routine_4.stopped,response_400ms.started,textbox_9.started,practice_response_instructions_5.started,textbox_10.started,button_5.started,response_400ms.stopped,textbox_9.text,textbox_10.text,button_5.numClicks,button_5.timesOn,button_5.timesOff,routine_5.started,target_22.started,target_22.stopped,target_23.started,target_23.stopped,routine_5.stopped,response_600ms.started,textbox_11.started,practice_response_instructions_6.started,textbox_12.started,button_6.started,response_600ms.stopped,textbox_11.text,textbox_12.text,button_6.numClicks,button_6.timesOn,button_6.timesOff,thank_you.started,key_instruct_4.started,thank_you.stopped,key_instruct_4.keys,key_instruct_4.rt,key_instruct_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01269204200070817,0.03560270900197793,12.140106833998288,space,12.076193708002393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.140146249999816,12.165714709000895,30.723008125001797,space,18.548379749998276,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
care, list,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,30.763320209000085,,,,,,,,,,,,,,30.735909125003673,30.763320209000085,32.72913754200272,32.72915154200018,32.97812729200086,33.02813525000238,33.14599816699774,33.19616645899805,33.33911929200258,33.33913166700222,33.39728483399813,33.39728483399813,33.39728483399813,33.39728483399813,43.23088262500096,0,0,,,1,[9.88300375000108],[9.883010249999643],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
card, loan,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,43.238392583996756,,,,,,,,,,,,,,43.23149549999653,43.238392583996756,45.22299912499875,45.2230103749971,45.48907816699648,45.53956883399951,45.64567474999785,45.69551341699844,45.85619975000009,45.85621616699791,45.87419470900204,45.87419470900204,45.87419470900204,45.87419470900204,62.41078337500221,1,0,card,,1,[16.55272070800129],[16.55272445800074],45.23793016700074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
cart, loss,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,62.423225667000224,,,,,,,,,,,,,,62.411172833999444,62.423225667000224,64.4066407920036,64.40665408399946,64.67326512499858,64.72295354199741,64.82925379199878,64.88005941700249,65.03045595900039,65.03047458399669,65.04774258399993,65.04774258399993,65.04774258399993,65.04774258399993,73.47824720900098,0,0,loss,,1,[8.446136165999633],[8.44613974999811],64.41780633400049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
calm, heat,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,73.49028279200138,,,,,,,,,,,,,,73.47864341700188,73.49028279200138,75.47392075000243,75.47393341700081,75.74042254200322,75.78990320899902,75.89654233399779,75.9473119999966,76.09748562500317,76.09750324999914,76.115336750001,76.115336750001,76.115336750001,76.115336750001,87.00179745900095,1,0,calm,,1,[10.902556207998714],[10.90255970799626],75.48812195900246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
case, love,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,87.00856724999903,,,,,,,,,,,,,,87.0021878339976,87.00856724999903,88.99807670900191,88.99809291699785,89.264364208997,89.31363779200183,89.42418441700283,89.47350704199926,89.62394612500066,89.6239598750035,89.64160262500081,89.64160262500081,89.64160262500081,89.64160262500081,97.70799216700107,1,0,case,love,1,[8.082347625000693],[8.082351249999192],89.01065358400228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
book, dark,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,97.71478424999805,,,,,,,,,,,,,,97.70840483399661,97.71478424999805,99.70789341699856,99.70790433399816,99.96445145900361,100.01371924999694,100.13096358400071,100.18113158400229,100.32451250000304,100.3245259999967,100.34801954199793,100.34801954199793,100.34801954199793,100.34801954199793,113.78671391699754,1,0,book,,1,[13.453978083001857],[13.453981708000356],99.72056950000115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
camp, soil,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,113.7933861249985,,,,,,,,,,,,,,113.78726408399962,113.7933861249985,115.78113154199673,115.781144458997,116.04742499999702,116.09848924999824,116.20800379200227,116.25755516700156,116.40795424999669,116.40796825000143,116.4258276670007,116.4258276670007,116.4258276670007,116.4258276670007,122.6620327089986,1,0,camp,,1,[6.252416250004899],[6.252419834003376],115.79371329199785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
blow, care,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,122.67451070900279,,,,,,,,,,,,,,122.66241720900143,122.67451070900279,124.65808695900341,124.65809683399857,124.92440445900138,124.9744032919989,125.08119554199948,125.13213458399696,125.28141037499881,125.28142620900326,125.29807250000158,125.29807250000158,125.29807250000158,125.29807250000158,136.35361974999978,1,0,blow,,1,[11.070419250005216],[11.070423124998342],124.6698200000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
