target1,target2,SOA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,counter_balance.thisRepN,counter_balance.thisTrialN,counter_balance.thisN,counter_balance.thisIndex,trials_50ms.thisRepN,trials_50ms.thisTrialN,trials_50ms.thisN,trials_50ms.thisIndex,trials_100ms.thisRepN,trials_100ms.thisTrialN,trials_100ms.thisN,trials_100ms.thisIndex,trials_200ms.thisRepN,trials_200ms.thisTrialN,trials_200ms.thisN,trials_200ms.thisIndex,trials_400ms.thisRepN,trials_400ms.thisTrialN,trials_400ms.thisN,trials_400ms.thisIndex,trials_600ms.thisRepN,trials_600ms.thisTrialN,trials_600ms.thisN,trials_600ms.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,practice_instructions.started,key_instruct_2.started,practice_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,fixation.started,cross.started,fixation.stopped,practice.started,target_1.started,target_1.stopped,target_2.started,target_2.stopped,practice.stopped,practice_response.started,textbox.started,practice_response_instructions.started,textbox_2.started,button.started,practice_response.stopped,f1_accuracy,f2_accuracy,textbox.text,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,cross.stopped,instructions_testphase.started,key_instruct_3.started,instructions_testphase.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,countdown.started,text_countdown.started,countdown.stopped,fixation_2.started,cross_2.started,fixation_2.stopped,routine_1.started,target_14.started,target_14.stopped,target_15.started,target_15.stopped,routine_1.stopped,response.started,textbox_3.started,practice_response_instructions_2.started,textbox_4.started,button_2.started,response.stopped,textbox_3.text,textbox_4.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,cross_2.stopped,fixation_100ms.started,cross_3.started,fixation_100ms.stopped,routine_2.started,target_16.started,target_16.stopped,target_17.started,target_17.stopped,routine_2.stopped,response_100ms.started,textbox_5.started,practice_response_instructions_3.started,textbox_6.started,button_3.started,response_100ms.stopped,textbox_5.text,textbox_6.text,button_3.numClicks,button_3.timesOn,button_3.timesOff,cross_3.stopped,routine_34.started,target_18.started,target_18.stopped,target_19.started,target_19.stopped,routine_34.stopped,response_200ms.started,textbox_7.started,practice_response_instructions_4.started,textbox_8.started,button_4.started,response_200ms.stopped,textbox_7.text,textbox_8.text,button_4.numClicks,button_4.timesOn,button_4.timesOff,routine_4.started,target_20.started,target_20.stopped,target_21.started,target_21.stopped,routine_4.stopped,response_400ms.started,textbox_9.started,practice_response_instructions_5.started,textbox_10.started,button_5.started,response_400ms.stopped,textbox_9.text,textbox_10.text,button_5.numClicks,button_5.timesOn,button_5.timesOff,routine_5.started,target_22.started,target_22.stopped,target_23.started,target_23.stopped,routine_5.stopped,response_600ms.started,textbox_11.started,practice_response_instructions_6.started,textbox_12.started,button_6.started,response_600ms.stopped,textbox_11.text,textbox_12.text,button_6.numClicks,button_6.timesOn,button_6.timesOff,thank_you.started,key_instruct_4.started,thank_you.stopped,key_instruct_4.keys,key_instruct_4.rt,key_instruct_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011347874999046326,0.027184417005628347,5.114913416997297,space,5.061415582997142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.114949124996201,5.12220412500028,15.254993750000722,space,10.12374933299725,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
book, dark,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,15.285980542001198,,,,,,,,,,,,,,15.266478833000292,15.285980542001198,17.26054116700834,17.260556542009,17.509629042004235,17.560274957999354,17.678080875004525,17.728390457996284,17.871586875000503,17.871598042009282,17.906152083000052,17.906152083000052,17.906152083000052,17.906152083000052,25.644427792009083,0,0,dark,,1,[7.763816291000694],[7.763822332999553],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
None,None,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,25.65411166699778,,,,,,,,,,,,,,25.645037750000483,25.65411166699778,27.63800912500301,27.638021624996327,27.904267749996507,27.95479483300005,28.06171570799779,28.111717874999158,28.261947542006965,28.261964833000093,28.288206917000934,28.288206917000934,28.288206917000934,28.288206917000934,49.33310495800106,0,0,book,,1,[21.061414458992658],[21.061418375000358],27.650109499998507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
None,None,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,49.3400494170055,,,,,,,,,,,,,,49.33357220800826,49.3400494170055,51.32964024999819,51.3296537080023,51.59577212500153,51.644760625000345,51.7555650830036,51.80441233300371,51.95569204200001,51.955705625005066,51.97279958300351,51.97279958300351,51.97279958300351,51.97279958300351,58.06757854200259,0,0,dark,,1,[6.1101957080099965],[6.110199333008495],51.341464208002435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
blow, care,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,58.0740756669984,,,,,,,,,,,,,,58.06803012499586,58.0740756669984,60.06320483300078,60.063221457996406,60.32794995800941,60.37948412500555,60.48917979199905,60.53880341700278,60.689534207995166,60.689546583002084,60.70705487500527,60.70705487500527,60.70705487500527,60.70705487500527,69.08480129200325,1,0,blow,,1,[8.39354416700371],[8.393547708998085],60.07709000000614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
None,None,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,69.09113358300237,,,,,,,,,,,,,,69.085253792,69.09113358300237,71.08006479199685,71.08007916700444,71.34568858300918,71.39667037500476,71.50602266700298,71.55548816699593,71.70590137499676,71.70591629200499,71.72445950000838,71.72445950000838,71.72445950000838,71.72445950000838,77.70145429200784,0,0,care,,1,[5.9936723340069875],[5.993675667006755],71.09158208299777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
None,None,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,77.70779362499889,,,,,,,,,,,,,,77.70184812499792,77.70779362499889,79.69641270799912,79.69642687500163,79.96316879200458,80.01301979200798,80.1230184169981,80.17242458299734,80.3232380420086,80.32324920799874,80.34079512499738,80.34079512499738,80.34079512499738,80.34079512499738,92.77724150000722,0,0,blow,,1,[12.452340916992398],[12.452344709003228],79.7077905000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
bird, rain,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,92.78949700000521,,,,,,,,,,,,,,92.77762616700784,92.78949700000521,94.77327566700114,94.77328566700453,95.03969800000777,95.08954891700705,95.19627200000104,95.24688004200289,95.39659416700306,95.39661029200943,95.41335558300489,95.41335558300489,95.41335558300489,95.41335558300489,106.8681346670055,0,0,brain,bird,1,[11.469758333012578],[11.469762250009808],94.78500216700195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
None,None,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,106.87527004200092,,,,,,,,,,,,,,106.86855162499705,106.87527004200092,108.86371537500236,108.8637277920061,109.13093900000968,109.18119208300777,109.2898095420096,109.33983304200228,109.49017625000852,109.49018645800243,109.50790083300672,109.50790083300672,109.50790083300672,109.50790083300672,121.35194970799785,0,0,brain,bird,1,[11.8600310000038],[11.8600346250023],108.88991841700044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
